lexicon,representative,prototypicality,familiarity,valence,arousal
가뜬하다,False,1.72,1.66,2.30,1.94
가련하다,False,2.00,1.97,1.59,1.61
가소롭다,False,1.98,2.39,1.26,1.99
가엾다,False,2.31,2.61,1.53,1.70
가증스럽다,False,2.09,2.28,0.96,2.59
가책,False,1.76,2.11,1.30,2.15
갈등하다,True,2.14,2.68,1.32,2.46
감개,False,1.93,1.76,2.53,2.16
감개무량하다,False,2.19,1.99,2.54,2.46
감격하다,False,2.59,2.79,2.77,2.65
감동하다,True,2.67,2.81,2.78,2.28
감명,False,2.07,2.16,2.69,2.04
감미롭다,False,2.51,2.49,2.83,2.01
감복하다,False,1.76,1.59,2.36,2.34
감탄하다,True,2.44,2.64,2.61,2.56
감홍,False,1.78,1.66,2.34,2.15
감회,False,2.01,2.06,2.39,2.03
개탄하다,False,1.71,1.57,1.19,2.64
거부감,True,2.17,2.46,1.01,2.31
거북하다,False,2.00,2.38,1.31,2.11
걱정하다,False,2.49,3.07,1.50,2.01
겁나다,False,2.44,2.77,1.33,2.84
격노하다,False,1.94,1.89,1.01,3.01
격동되다,False,2.06,1.95,2.10,3.02
격분하다,False,2.06,2.22,1.08,2.97
격앙하다,False,1.61,1.27,1.19,2.85
격정,False,1.96,1.90,1.82,2.86
격하다,False,2.01,1.97,1.38,2.76
겸연쩍다,False,2.01,1.97,1.55,1.76
경멸하다,True,2.11,2.35,0.89,2.85
경악하다,False,2.03,2.11,1.10,3.08
경애하다,False,1.98,1.78,2.50,2.07
경외하다,False,1.99,2.01,2.21,1.96
경쾌하다,False,2.59,2.73,2.99,2.69
경탄하다,False,1.92,1.61,2.04,2.73
고깝다,False,1.57,1.54,1.24,2.14
고뇌하다,False,1.81,2.08,1.39,1.90
고독하다,False,2.33,2.64,1.21,1.26
고립감,False,1.79,2.11,1.06,1.67
고맙다,True,2.75,3.13,2.81,1.92
고무되다,False,2.00,1.84,2.41,2.12
고민하다,False,2.11,2.83,1.40,1.68
고적하다,False,1.49,1.33,1.65,1.29
곤혹스럽다,False,2.11,2.26,1.15,2.69
골나다,False,1.79,2.00,1.15,2.68
공감하다,True,2.56,2.60,2.59,1.91
공포,False,2.20,2.70,1.19,3.07
공허하다,False,2.06,2.01,1.39,1.30
괘씸하다,True,2.24,2.50,1.08,2.60
괴롭다,True,2.43,2.76,0.99,1.96
교감하다,False,2.23,2.15,2.77,2.25
구슬프다,False,1.99,1.84,1.43,1.91
굴욕,False,1.89,2.09,0.90,2.69
권태롭다,False,1.99,2.04,1.36,1.44
귀찮다,True,2.39,2.89,1.31,1.85
그립다,True,2.90,2.97,2.23,1.62
